condition,time,mean,sd,n,sem,ci
neutral,1,-0.0019130237680848763,0.107723626711145,24,0.021988993223696143,0.04309842671844444
neutral,201,6.472487147878112e-4,0.13087255025912894,24,0.026714247455967694,0.05235992501369668
neutral,401,0.019083825639923373,0.14065817879677298,24,0.028711730516771478,0.05627499181287209
neutral,601,0.04932330811728263,0.14730123465232536,24,0.03006773861501409,0.058932767685427614
neutral,801,0.11454059046189831,0.1692367592502247,24,0.034545308823774296,0.06770880529459762
neutral,1001,0.18397346898626254,0.18516492609012963,24,0.03779663226508149,0.07408139923955971
neutral,1201,0.22292244590177226,0.2000636980925973,24,0.040837831365090636,0.08004214947557764
neutral,1401,0.2563049154510827,0.2329745073940644,24,0.04755572218264371,0.09320921547798167
neutral,1601,0.28016013844802534,0.2587538539161793,24,0.05281790925610817,0.10352310214197202
neutral,1801,0.29040197248469457,0.2876453653114728,24,0.05871536432413107,0.11508211407529689
neutral,2001,0.297381847240841,0.29420027108452196,24,0.06005337886213059,0.11770462256977594
neutral,2201,0.30285808207724624,0.30793826993583573,24,0.06285763613485226,0.12320096682431043
neutral,2401,0.3029931802796881,0.30684685776514986,24,0.06263485255841529,0.12276431101449396
neutral,2601,0.31049776688875047,0.31829748406373815,24,0.06497220186398489,0.12734551565341037
neutral,2801,0.3167366897100213,0.33252289471299845,24,0.06787595165333837,0.1330368652405432
neutral,3001,0.32895978944243537,0.34705223898007986,24,0.07084174163263683,0.13884981359996817
neutral,3201,0.33536474254854737,0.33298514357593195,24,0.06797030780736911,0.13322180330244346
neutral,3401,0.34501212083657457,0.34819072408020657,24,0.07107413393055949,0.13930530250389658
neutral,3601,0.3477297929676738,0.3529575472447922,24,0.0720471576345023,0.14121242896362451
neutral,3801,0.3470116199722364,0.34393046277935657,24,0.0702045117340588,0.13760084299875525
neutral,4001,0.34539566372901936,0.34022580033091154,24,0.06944830067839712,0.13611866932965835
neutral,4201,0.33148053012414613,0.34122996590231025,24,0.06965327511733022,0.13652041922996722
neutral,4401,0.3215092756326588,0.34344817789780135,24,0.07010606574485306,0.137407888859912
neutral,4601,0.3155383241103358,0.34962200888186196,24,0.07136629371728084,0.13987793568587045
neutral,4801,0.3073529869531505,0.35043589651980966,24,0.07153242783569176,0.14020355855795585
neutral,5001,0.30888056379222356,0.3526775543366158,24,0.07199000432144978,0.14110040847004157
neutral,5201,0.29046656798950243,0.3582285413961833,24,0.07312309481017752,0.14332126582794794
neutral,5401,0.28157052416823203,0.35313684413765184,24,0.0720837564595,0.14128416266062002
neutral,5601,0.27860750848939414,0.36049769464908465,24,0.07358628377832627,0.14422911620551948
neutral,5801,0.26484189741662406,0.3654304956942096,24,0.07459318757526157,0.14620264764751267
neutral,6001,0.26404176159733495,0.37846276909797294,24,0.0772533892442336,0.15141664291869786
neutral,6201,0.2646394734850752,0.3835503401646523,24,0.07829188533952622,0.15345209526547138
neutral,6401,0.247095610354615,0.37713963262513506,24,0.07698330514269038,0.15088727807967314
neutral,6601,0.23781644473567262,0.37931923272783663,24,0.07742821415060176,0.15175929973517946
neutral,6801,0.23266794449510353,0.37153605952094654,24,0.07583948057255324,0.14864538192220436
neutral,7001,0.22769773386682723,0.3798363710288123,24,0.07753377456425511,0.15196619814594003
neutral,7201,0.2274709112232891,0.37835508536248447,24,0.07723140839377163,0.1513735604517924
neutral,7401,0.22520223217450713,0.37511994230762197,24,0.0765710375829948,0.15007923366266981
neutral,7601,0.21383309788934957,0.376001107830064,24,0.07675090474207114,0.15043177329445942
neutral,7801,0.19542054842778206,0.3755219412534131,24,0.07665309527418855,0.15024006673740956
neutral,8001,0.19208710904605017,0.3733810175100488,24,0.07621608104506758,0.14938351884833245
neutral,8201,0.188734046325713,0.3726651430739962,24,0.07606995378771493,0.14909710942392126
neutral,8401,0.18579353204003402,0.36620451227912165,24,0.07475118304905208,0.14651231877614207
neutral,8601,0.18397312244909772,0.3606626231646533,24,0.07361994967059109,0.14429510135435852
neutral,8801,0.1799114787619051,0.3565195161333685,24,0.07277424148922568,0.14263751331888233
neutral,9001,0.1699547403706438,0.3569243333187754,24,0.07285687445117205,0.1427994739242972
neutral,9201,0.17034501944352756,0.3514368352787838,24,0.07173674360429685,0.14060401746442183
neutral,9401,0.1618682281579399,0.34540761680457754,24,0.07050603453683293,0.13819182769219254
neutral,9601,0.16235526230079889,0.34795719354210336,24,0.07102646470908361,0.13921187082980388
neutral,9801,0.16867140961282012,0.34163562906987,24,0.06973608076466042,0.13668271829873443
neutral,10001,0.1654612884136576,0.3464516769662709,24,0.07071915242490931,0.13860953875282225
neutral,10201,0.15702705066850953,0.34890628129497275,24,0.07122019643538817,0.1395915850133608
neutral,10401,0.15342884166965298,0.34970874516575223,24,0.07138399868709054,0.13991263742669746
neutral,10601,0.15121117500114642,0.3498597621727433,24,0.07141482490455807,0.13997305681293382
neutral,10801,0.1535200143838256,0.3464865130505514,24,0.07072626331083628,0.1386234760892391
neutral,11001,0.14738270967764738,0.3423248913663506,24,0.06987677584177013,0.13695848064986946
neutral,11201,0.1418010434295099,0.33536438255156975,24,0.06845596792957366,0.13417369714196437
neutral,11401,0.14293448931266597,0.33949625497812347,24,0.06929938285685133,0.1358267903994286
neutral,11601,0.14790918201668607,0.3407337531342949,24,0.06955198611020591,0.1363218927760036
neutral,11801,0.14561547546533662,0.3455905517581599,24,0.07054337597786597,0.1382650169166173
neutral,12001,0.15089528836737015,0.35317421317263914,24,0.07209138438182494,0.1412991133883769
neutral,12201,0.15316308488758038,0.3381487535155791,24,0.06902432527261068,0.13528767753431695
neutral,12401,0.14069901926941514,0.35002460710999345,24,0.07144847373647008,0.14003900852348136
neutral,12601,0.1349714825101412,0.342606487158582,24,0.06993425634216027,0.13707114243063412
neutral,12801,0.13815322697244717,0.35610573498587,24,0.07268977876617945,0.14247196638171172
neutral,13001,0.13658463579452518,0.3678997877502495,24,0.07509722970552872,0.1471905702228363
neutral,13201,0.14605535810160655,0.36180123235972556,24,0.07385236729928843,0.14475063990660533
neutral,13401,0.1438807366874185,0.3565443810987044,24,0.07277931702902107,0.1426474613768813
neutral,13601,0.13066642608835516,0.35218216292387794,24,0.07188888297276944,0.14090221062662808
neutral,13801,0.12036893820494467,0.3401478791110861,24,0.06943239507600484,0.13608749434896947
neutral,14001,0.10778300189304135,0.34622686204271946,24,0.07067326227080399,0.13851959405077582
neutral,14201,0.09626809496603135,0.3454943666423649,24,0.07052374227332028,0.13822653485570777
neutral,14401,0.1086650207044596,0.34597044995064796,24,0.07062092237168276,0.1384170078484982
neutral,14601,0.1028056862240078,0.34950752581427247,24,0.0713429249589656,0.13983213291957258
neutral,14801,0.09682204314678265,0.3469638158757471,24,0.07082369234204615,0.13881443699041046
neutral,15001,0.10078621038990825,0.35101453826786944,24,0.07165054258790997,0.14043506347230353
neutral,15201,0.10414782593907036,0.352804370766662,24,0.07201589061683433,0.14115114560899528
neutral,15401,0.10626195521818144,0.351573042803192,24,0.07176454684879084,0.14065851182363004
neutral,15601,0.11475321784090224,0.33851970567420064,24,0.06910004556491124,0.13543608930722603
neutral,15801,0.11533824415590321,0.3344261857208171,24,0.06826445930343698,0.1337983402347365
neutral,16001,0.11495032812671038,0.3391516001361383,24,0.06922903048183107,0.13568889974438889
neutral,16201,0.1139074789567398,0.3317094641486426,24,0.06770991083468371,0.13271142523598006
neutral,16401,0.12670470729347422,0.3297306963170817,24,0.0673059965424539,0.13191975322320962
neutral,16601,0.12766602418761,0.3326364836434791,24,0.06789913789668055,0.13308231027749387
neutral,16801,0.127604292450492,0.33389882551114214,24,0.06815681235140775,0.13358735220875917
neutral,17001,0.1359695192406717,0.33434340000197815,24,0.06824756073934156,0.13376521904910946
neutral,17201,0.12789237605246398,0.3337498642193459,24,0.06812640575504719,0.1335277552798925
neutral,17401,0.12660417227696233,0.3269269464485632,24,0.0667336834970984,0.13079801965431287
neutral,17601,0.12383432982513881,0.33211905034693523,24,0.06779351726730899,0.13287529384392563
neutral,17801,0.12050397807892321,0.3405940089022456,24,0.06952346093828776,0.136265983439044
neutral,18001,0.10846276508390022,0.3247571205226053,24,0.06629076963466017,0.12992990848393393
neutral,18201,0.09188573728995397,0.3191652807205402,24,0.06514934011478973,0.12769270662498788
neutral,18401,0.09878726147798608,0.3314188163132259,24,0.06765058259371576,0.13259514188368288
neutral,18601,0.09398665283930223,0.33482919955345475,24,0.06834672415754078,0.13395957934877994
neutral,18801,0.08969953722768831,0.3342387995601728,24,0.06822620926356716,0.13372337015659164
neutral,19001,0.09270517824658085,0.33088675828999603,24,0.06754197670451018,0.13238227434083993
neutral,19201,0.09170416662963338,0.3248056407643285,24,0.06630067378752837,0.1299493206235556
neutral,19401,0.105642859728769,0.32703387888448465,24,0.06675551098917845,0.13084080153878977
neutral,19601,0.0979617173757646,0.327975055004439,24,0.06694762776017685,0.13121735040994661
neutral,19801,0.0975276245322732,0.3259590335021481,24,0.06653610909425252,0.13041077382473493
neutral,20001,0.09234098949243508,0.32495294424397236,24,0.06633074198440037,0.13000825428942472
neutral,20201,0.09404919954657336,0.3218311087473944,24,0.06569349998210669,0.12875925996492912
neutral,20401,0.09853465798468233,0.3322557304838179,24,0.06782141698342034,0.13292997728750386
neutral,20601,0.10275446758180405,0.3266978047096334,24,0.0666869101355024,0.13070634386558472
neutral,20801,0.0679610620027958,0.3175989320297252,24,0.06482961052714198,0.12706603663319826
neutral,21001,0.05398678019670164,0.3018073048097899,24,0.06160615811905138,0.12074806991334071
neutral,21201,0.08341009201306601,0.2971829651763008,24,0.06066221874410327,0.11889794873844241
neutral,21401,0.11999592744222752,0.2835499718610312,24,0.05787939563667123,0.11344361544787561
neutral,21601,0.13343482637153042,0.27928715097732193,24,0.057009250967507245,0.1117381318963142
neutral,21801,0.13229286561629883,0.29163320940373694,24,0.0595293795907827,0.1166775839979341
neutral,22001,0.12054905846112399,0.2891750209846999,24,0.059027603980927726,0.11569410380261834
neutral,22201,0.11975056375938602,0.2865939470704945,24,0.058500744474410116,0.11466145916984383
neutral,22401,0.11750438885112523,0.2895396885892016,24,0.059102041443990415,0.11584000123022122
neutral,22601,0.10958175872252726,0.30036592922251115,24,0.06131193855933993,0.12017139957630626
neutral,22801,0.10383445240031405,0.29329759131101235,24,0.05986912012494478,0.11734347544489176
neutral,23001,0.09854527521414659,0.30022296748123045,24,0.061282756616100144,0.12011420296755627
neutral,23201,0.09468812232565184,0.2953046364897019,24,0.060278806506486655,0.11814646075271384
neutral,23401,0.08735117173172215,0.29188595639429044,24,0.059580971354189376,0.11677870385421117
neutral,23601,0.08723576296911219,0.29617583740413905,24,0.060456639648471415,0.11849501371100397
neutral,23801,0.09687387504788096,0.2942253183646389,24,0.06005849161677484,0.11771464356887867
neutral,24001,0.08690051340885295,0.2940828212356592,24,0.06002940451212386,0.11765763284376277
neutral,24201,0.08961287815249448,0.29550621681935146,24,0.06031995391897194,0.11822710968118501
neutral,24401,0.09342094016700858,0.31175358621210053,24,0.0636364343085343,0.12472741124472722
neutral,24601,0.0949914437940386,0.3161448049346675,24,0.06453278807680474,0.12648426463053727
