condition,time,mean,sd,n,sem,ci
neutral,15201,0.1385001729762058,0.35002577312025623,5,0.15653628451476231,0.30681111764893415
neutral,15401,0.13429740641065321,0.3547113973403534,5,0.15863175936939367,0.31091824836401155
neutral,15601,0.1402755219819656,0.3041638185401618,5,0.1360261949103425,0.26661134202427134
neutral,15801,0.1525930804676397,0.3140107904034575,5,0.14042989460211389,0.27524259342014323
neutral,16001,0.1395833378163277,0.33854377256976176,5,0.15140137776504317,0.2967467004194846
neutral,16201,0.1389352470814257,0.3186849122488745,5,0.14252022543840775,0.2793396418592792
neutral,16401,0.1427191423914642,0.28993193263532757,5,0.12966150204409643,0.254136544006429
neutral,16601,0.14172042123656772,0.3006273795198384,5,0.13444465130079736,0.26351151654956284
neutral,16801,0.15855631561858088,0.318427148075848,5,0.1424049497957975,0.27911370159976306
neutral,17001,0.14517304967823785,0.3203454314878658,5,0.1432628322176739,0.2807951511466409
neutral,17201,0.1440724789869838,0.30377255761988775,5,0.13585121770740813,0.2662683867065199
neutral,17401,0.15350982888509102,0.3007324060012266,5,0.13449162057116165,0.26360357631947684
neutral,17601,0.15432766225472427,0.31277826946902276,5,0.13987869448349638,0.2741622411876529
neutral,17801,0.1408808220404312,0.32347345209833545,5,0.14466172556168,0.2835369821008928
neutral,18001,0.14315815663126044,0.3157985610654239,5,0.14122940994778124,0.27680964349765125
neutral,18201,0.13587449948962646,0.309984682710046,5,0.1386293645046733,0.2717135544291597
neutral,18401,0.137515890189562,0.2919383417190576,5,0.1305587954644751,0.2558952391103712
neutral,18601,0.12788994105371854,0.3020240685280579,5,0.13506926961395846,0.26473576844335855
neutral,18801,0.13538705107782883,0.3107317099086289,5,0.13896344522408785,0.27236835263921216
neutral,19001,0.148350608253235,0.3091579710853673,5,0.13825964782655914,0.2709889097400559
neutral,19201,0.1516009354519006,0.31025518274339825,5,0.13875033579717164,0.2719506581624564
neutral,19401,0.18933050355873546,0.3059134003050329,5,0.1368086316620317,0.2681449180575821
neutral,19601,0.14537607194732854,0.29876033941619073,5,0.13360968558310246,0.2618749837428808
neutral,19801,0.1350755349600542,0.2895765783529474,5,0.1295025827777969,0.25382506224448187
neutral,20001,0.13673098681486154,0.29285233819211437,5,0.13096754711346512,0.2566963923423916
neutral,20201,0.12834911153982653,0.3023708358224219,5,0.13522434866247277,0.2650397233784466
neutral,20401,0.13062019358301863,0.30751494717790817,5,0.13752486519741194,0.2695487357869274
neutral,20601,0.13367197185537164,0.310763218932784,5,0.13897753648807093,0.27239597151661904
neutral,20801,0.04991127952094048,0.3307018523171383,5,0.1478943644132435,0.28987295424995724
neutral,21001,0.041845965995246405,0.30487473102290763,5,0.13634412463783707,0.26723448429016067
neutral,21201,0.09037039812862713,0.3063856551443394,5,0.1370198304467102,0.268558867675552
neutral,21401,0.1641404566050348,0.2921918356187508,5,0.13067216138279422,0.25611743631027667
neutral,21601,0.1880314868936538,0.2832525497706692,5,0.12667439121747176,0.24828180678624465
neutral,21801,0.16175834700936015,0.275236863569435,5,0.12308966737101841,0.24125574804719607
neutral,22001,0.12768909830236838,0.257154995532761,5,0.11500321015298166,0.22540629189984407
neutral,22201,0.13558465886366755,0.26451882367126633,5,0.11829641421144639,0.2318609718544349
neutral,22401,0.10875410510470358,0.29532921305263,5,0.13207523922543976,0.2588674688818619
neutral,22601,0.11022112826931472,0.31574075441650157,5,0.14120355802847287,0.2767589737358068
neutral,22801,0.08000340110025958,0.3015714520612319,5,0.13486685337644672,0.26433903261783553
neutral,23001,0.07769066098868231,0.3011269124698173,5,0.13466804922742812,0.2639493764857591
neutral,23201,0.06522320714118184,0.30238698616017373,5,0.1352315713130873,0.2650538797736511
neutral,23401,0.05925251749660437,0.28603146572896837,5,0.12791716021477495,0.2507176340209589
neutral,23601,0.04138114474239772,0.2549388927338429,5,0.11401213885227998,0.22346379215046877
neutral,23801,0.043642709703480095,0.24378022473706965,5,0.1090218308164527,0.2136827884002473
neutral,24001,0.048087172412911494,0.22609051467753716,5,0.1011107519773774,0.1981770738756597
neutral,24201,0.057931237111398866,0.21490263685898478,5,0.09610738091212837,0.1883704665877716
neutral,24401,0.07467417546760824,0.2579764287344465,5,0.11537056624857046,0.22612630984719811
neutral,24601,0.0741605303661879,0.263412293371222,5,0.11780155881743393,0.2308910552821705
neutral,24801,0.08132593230767976,0.2522575920207044,5,0.11281302471974071,0.2211135284506918
neutral,25001,0.07072857968471481,0.24231483681998842,5,0.1083664894172526,0.2123983192578151
