pid,trial,condition,samples,n,sum_na,pupil
1,1,neutral,1,200,0,0.12072074838729314
1,1,neutral,201,200,0,0.13040229892771257
1,1,neutral,401,200,0,0.19132255395342734
1,1,neutral,601,200,0,0.29291741307805325
1,1,neutral,801,200,0,0.2991329487979576
1,1,neutral,1001,200,0,0.3728495072245685
1,1,neutral,1201,200,0,0.524873116389828
1,1,neutral,1401,200,0,0.6363325366796527
1,1,neutral,1601,200,0,0.7170113164286628
1,1,neutral,1801,200,0,0.802101144173562
1,1,neutral,2001,200,0,0.8982306989258387
1,1,neutral,2201,200,0,0.9634986907084858
1,1,neutral,2401,200,0,0.9593212971080146
1,1,neutral,2601,200,0,0.9404408886869025
1,1,neutral,2801,200,0,0.9101548085313654
1,1,neutral,3001,200,0,0.9161636487533292
1,1,neutral,3201,200,0,0.9300378585400924
1,1,neutral,3401,200,0,1.0179318542838525
1,1,neutral,3601,200,0,1.1613535081885162
1,1,neutral,3801,200,0,1.2265136296792811
1,1,neutral,4001,200,0,1.2356260826382797
1,1,neutral,4201,200,0,1.233281941757679
1,1,neutral,4401,200,0,1.2416048906375838
1,1,neutral,4601,200,0,1.2623620022433615
1,1,neutral,4801,200,0,1.3047784230697577
1,1,neutral,5001,200,0,1.3493473599502497
1,1,neutral,5201,200,0,1.355185888071226
1,1,neutral,5401,200,0,1.368965135179752
1,1,neutral,5601,200,0,1.3994348118755728
1,1,neutral,5801,200,0,1.4264525656555889
1,1,neutral,6001,200,0,1.4105215283524135
1,1,neutral,6201,200,0,1.3809080926162236
1,1,neutral,6401,200,0,1.3790221073281692
1,1,neutral,6601,200,0,1.4102536076784937
1,1,neutral,6801,200,0,1.3921907135082057
1,1,neutral,7001,200,0,1.4034668312119973
1,1,neutral,7201,200,0,1.3887331342997002
1,1,neutral,7401,200,0,1.3962397763074177
1,1,neutral,7601,200,0,1.4174107043485304
1,1,neutral,7801,200,0,1.4092134309530648
1,1,neutral,8001,200,0,1.1468877038316043
1,1,neutral,8201,200,0,0.7154072541109908
1,1,neutral,8401,200,0,0.47894392743516556
1,1,neutral,8601,200,0,0.4380716848165272
1,1,neutral,8801,200,0,0.45810613489976415
1,1,neutral,9001,200,0,0.5773362099158963
1,1,neutral,9201,200,0,0.6894528299210411
1,1,neutral,9401,200,0,0.4727273095872237
1,1,neutral,9601,200,0,0.32894558084162256
1,1,neutral,9801,200,0,0.2894659375352147
1,1,neutral,10001,200,0,0.3475856586329656
1,1,neutral,10201,200,0,0.46159371481660233
1,1,neutral,10401,200,0,0.4811503261272982
1,1,neutral,10601,200,0,0.292952069902129
1,1,neutral,10801,200,0,0.1830357106550507
1,1,neutral,11001,200,0,0.18868421950071862
1,1,neutral,11201,200,0,0.26511278017339934
1,1,neutral,11401,200,0,0.47413423845670344
1,1,neutral,11601,200,0,0.6537839251516572
1,1,neutral,11801,200,0,0.6472622149126827
1,1,neutral,12001,200,0,0.6463389477411857
1,1,neutral,12201,200,0,0.6441837791238668
1,1,neutral,12401,200,0,0.6555275767498238
1,1,neutral,12601,200,0,0.7557405933466517
1,1,neutral,12801,200,0,0.8175864497827959
1,1,neutral,13001,200,0,0.8974868217582598
1,1,neutral,13201,200,0,0.8404846144373169
1,1,neutral,13401,200,0,0.6630590280598728
1,1,neutral,13601,200,0,0.7225805228184471
1,1,neutral,13801,200,0,0.9002459948772408
1,1,neutral,14001,200,0,0.9974424592051485
1,1,neutral,14201,200,0,0.9750779030956176
1,1,neutral,14401,200,0,0.774548022326231
1,1,neutral,14601,200,0,0.6831787405066048
1,1,neutral,14801,200,0,0.8700855174937493
1,1,neutral,15001,200,0,1.0080691571990485
1,1,neutral,15201,200,0,0.9495988612270995
1,1,neutral,15401,200,0,0.7467919479825208
1,1,neutral,15601,200,0,0.6890755640703171
1,1,neutral,15801,200,0,0.7569558991026543
1,1,neutral,16001,200,0,0.8278583365523865
1,1,neutral,16201,200,0,0.91995924898685
1,1,neutral,16401,200,0,0.9327719598474903
1,1,neutral,16601,200,0,0.9628657722248417
1,1,neutral,16801,200,0,1.039403916174267
1,1,neutral,17001,200,0,0.9548236521573652
1,1,neutral,17201,200,0,0.8201748765215847
1,1,neutral,17401,200,0,0.843607346639074
1,1,neutral,17601,200,0,0.8075598419825757
1,1,neutral,17801,200,0,0.8620344191351857
1,1,neutral,18001,200,0,0.829274629966541
1,1,neutral,18201,200,0,0.7097440791575422
1,1,neutral,18401,200,0,0.48038968293537
1,1,neutral,18601,200,0,0.2593254962787169
1,1,neutral,18801,200,0,0.2846381104418237
1,1,neutral,19001,200,0,0.48385423456200355
1,1,neutral,19201,200,0,0.6850053432767175
1,1,neutral,19401,200,0,0.7870081263867232
1,1,neutral,19601,200,0,0.7444427130877276
1,1,neutral,19801,200,0,0.6796695517615641
1,1,neutral,20001,200,0,0.6692490106982916
1,1,neutral,20201,200,0,0.6673812055780168
1,1,neutral,20401,200,0,0.7400433448418129
1,1,neutral,20601,200,0,0.8014466774853306
1,1,neutral,20801,200,0,0.6666943046961641
1,1,neutral,21001,200,0,0.4897547254602488
1,1,neutral,21201,200,0,0.4069645640354453
1,1,neutral,21401,200,0,0.31763145495634315
1,1,neutral,21601,200,0,0.39921263451818595
1,1,neutral,21801,200,0,0.5136183361792273
1,1,neutral,22001,200,0,0.5474869445226053
1,1,neutral,22201,200,0,0.5304914090176827
1,1,neutral,22401,200,0,0.5045668242365572
1,1,neutral,22601,200,0,0.5752028515314012
1,1,neutral,22801,200,0,0.6296033050407482
1,1,neutral,23001,200,0,0.6743150867775922
1,1,neutral,23201,200,0,0.671461885739819
1,1,neutral,23401,200,0,0.5381146001578085
1,1,neutral,23601,200,0,0.43869814210984637
1,1,neutral,23801,200,0,0.3487024216130275
1,1,neutral,24001,200,0,0.2866150901484814
1,1,neutral,24201,200,0,0.25427072749486024
1,1,neutral,24401,200,0,0.2570819183493532
1,1,neutral,24601,200,0,0.3523800310223134
1,1,neutral,24801,200,0,0.4163234924872417
1,1,neutral,25001,200,0,0.37669724612927197
1,1,neutral,25201,200,0,0.2764438745175075
1,1,neutral,25401,200,0,0.28690375464811635
1,1,neutral,25601,200,0,0.2908739390578001
1,1,neutral,25801,200,0,0.21891484776201148
1,1,neutral,26001,200,0,0.15546448838273194
1,1,neutral,26201,200,0,0.1770189927320233
1,1,neutral,26401,200,0,0.2191569101526146
1,1,neutral,26601,200,0,0.2523437543223082
1,1,neutral,26801,200,0,0.26589963777635567
1,1,neutral,27001,200,0,0.19121794342319912
1,1,neutral,27201,200,0,0.18624595306919603
1,1,neutral,27401,200,0,0.2640883484611823
1,1,neutral,27601,200,0,0.34094276257465433
1,1,neutral,27801,200,0,0.32290405564530283
1,1,neutral,28001,200,0,0.3172062170890019
1,1,neutral,28201,200,0,0.27432939078109064
1,1,neutral,28401,200,0,0.0575658365373929
1,1,neutral,28601,200,0,-0.12201271288919584
1,1,neutral,28801,200,0,-0.24370872232015617
1,1,neutral,29001,200,0,-0.26487910198530207
1,1,neutral,29201,200,0,-0.24570892175556752
1,1,neutral,29401,200,0,-0.23392389428645485
1,1,neutral,29601,200,0,-0.1328317556951323
1,1,neutral,29801,200,0,5.6513859563466e-4
1,1,neutral,30001,200,0,0.13067931507984382
1,1,neutral,30201,200,0,0.1335254758848491
1,1,neutral,30401,200,0,0.07811009516352983
1,1,neutral,30601,200,0,0.18651065115430543
1,1,neutral,30801,200,0,0.3803246684905545
1,1,neutral,31001,200,0,0.481613205362175
1,1,neutral,31201,200,0,0.3184550893130771
1,1,neutral,31401,200,0,0.1853592464109472
1,1,neutral,31601,200,0,0.3157313308924335
1,1,neutral,31801,200,0,0.39834303539087274
1,1,neutral,32001,200,0,0.423160115639265
1,1,neutral,32201,200,0,0.473045479522949
1,1,neutral,32401,200,0,0.45869996924108764
1,1,neutral,32601,200,0,0.49064187661238506
1,1,neutral,32801,200,0,0.5787276147764653
1,1,neutral,33001,200,0,0.6444062176269598
1,1,neutral,33201,200,0,0.48836758473978276
1,1,neutral,33401,200,0,0.5106543456265579
1,1,neutral,33601,200,0,0.6744662606505327
1,1,neutral,33801,200,0,0.7408405871729329
1,1,neutral,34001,200,0,0.6689922184280259
1,1,neutral,34201,200,0,0.6508175784209513
1,1,neutral,34401,200,0,0.723906354189722
1,1,neutral,34601,200,0,0.787569923512176
1,1,neutral,34801,200,0,0.8552327061808817
1,1,neutral,35001,200,0,0.8457737340364543
1,1,neutral,35201,200,0,0.7316001106549183
1,1,neutral,35401,200,0,0.7638653375692184
1,1,neutral,35601,200,0,0.8818545290664828
1,1,neutral,35801,200,0,0.9602570609463276
1,1,neutral,36001,200,0,0.8607011227958276
1,1,neutral,36201,200,0,0.7403670588017313
1,1,neutral,36401,200,0,0.8266148648700469
1,1,neutral,36601,200,0,0.8973941508312807
1,1,neutral,36801,200,0,0.7878394509629938
1,1,neutral,37001,200,0,0.5066374015656406
1,1,neutral,37201,200,0,0.31839468775456414
1,1,neutral,37401,200,0,0.17485426736635853
1,1,neutral,37601,200,0,0.0791936248552797
1,1,neutral,37801,200,0,0.03350904977521731
1,1,neutral,38001,200,0,0.12450106050235757
1,1,neutral,38201,200,0,0.27250136502507055
1,1,neutral,38401,200,0,0.42346457724927344
1,1,neutral,38601,200,0,0.5082088503831931
1,1,neutral,38801,200,0,0.5406660562427401
1,1,neutral,39001,200,0,0.567251252733508
1,1,neutral,39201,200,0,0.5281168121692525
1,1,neutral,39401,200,0,0.4526726536673178
1,1,neutral,39601,200,0,0.34988934696837476
1,1,neutral,39801,192,0,0.23610639144894047
1,2,reward,1,200,0,0.1676365785926724
1,2,reward,201,200,0,0.26197758052545617
1,2,reward,401,200,0,0.33510707104671755
1,2,reward,601,200,0,0.28881967721477814
1,2,reward,801,200,0,0.35183976814405593
