pid,trial,condition,time,pupil
1,1,neutral,15001,1.0080691571990483
1,1,neutral,15201,0.9495988612270996
1,1,neutral,15401,0.7467919479825208
1,1,neutral,15601,0.6890755640703171
1,1,neutral,15801,0.7569558991026543
1,1,neutral,16001,0.8278583365523865
1,1,neutral,16201,0.91995924898685
1,1,neutral,16401,0.9327719598474904
1,1,neutral,16601,0.9628657722248416
1,1,neutral,16801,1.039403916174267
1,1,neutral,17001,0.9548236521573652
1,1,neutral,17201,0.8201748765215847
1,1,neutral,17401,0.843607346639074
1,1,neutral,17601,0.8075598419825757
1,1,neutral,17801,0.8620344191351857
1,1,neutral,18001,0.829274629966541
1,1,neutral,18201,0.7097440791575422
1,1,neutral,18401,0.48038968293537
1,1,neutral,18601,0.2593254962787169
1,1,neutral,18801,0.2846381104418237
1,1,neutral,19001,0.4838542345620035
1,1,neutral,19201,0.6850053432767175
1,1,neutral,19401,0.7870081263867232
1,1,neutral,19601,0.7444427130877276
1,1,neutral,19801,0.6796695517615641
1,1,neutral,20001,0.6692490106982916
1,1,neutral,20201,0.6673812055780168
1,1,neutral,20401,0.7400433448418129
1,1,neutral,20601,0.8014466774853306
1,1,neutral,20801,0.6666943046961641
1,1,neutral,21001,0.4897547254602488
1,1,neutral,21201,0.4069645640354453
1,1,neutral,21401,0.31763145495634315
1,1,neutral,21601,0.3992126345181859
1,1,neutral,21801,0.5136183361792273
1,1,neutral,22001,0.5474869445226053
1,1,neutral,22201,0.5304914090176827
1,1,neutral,22401,0.5045668242365572
1,1,neutral,22601,0.5752028515314012
1,1,neutral,22801,0.6296033050407482
1,1,neutral,23001,0.6743150867775922
1,1,neutral,23201,0.671461885739819
1,1,neutral,23401,0.5381146001578085
1,1,neutral,23601,0.4386981421098464
1,1,neutral,23801,0.3487024216130275
1,1,neutral,24001,0.2866150901484814
1,1,neutral,24201,0.25427072749486024
1,1,neutral,24401,0.2570819183493532
1,1,neutral,24601,0.3523800310223134
1,1,neutral,24801,0.4163234924872417
1,2,reward,15001,0.09002103852064995
1,2,reward,15201,0.02929420678079081
1,2,reward,15401,0.02319572076921042
1,2,reward,15601,-0.05122330599744409
1,2,reward,15801,-0.10931264536151816
1,2,reward,16001,-0.2398804133476251
1,2,reward,16201,-0.2432308443642402
1,2,reward,16401,-0.06392779253083748
1,2,reward,16601,0.05328509745146213
1,2,reward,16801,0.02075026635914769
1,2,reward,17001,0.01932614818848831
1,2,reward,17201,-0.07127793806358668
1,2,reward,17401,-0.1646036892876694
1,2,reward,17601,-0.10534119441794831
1,2,reward,17801,-0.03952871738509797
1,2,reward,18001,-0.0411762839278109
1,2,reward,18201,-0.03996689880198438
1,2,reward,18401,0.04187735913783368
1,2,reward,18601,0.1494187949975554
1,2,reward,18801,0.1748205294387086
1,2,reward,19001,0.12040277029654244
1,2,reward,19201,0.0674460616721474
1,2,reward,19401,0.01640271223335735
1,2,reward,19601,0.0239108565189269
1,2,reward,19801,0.16796962909455426
1,2,reward,20001,0.3777878976250943
1,2,reward,20201,0.4647973270494654
1,2,reward,20401,0.4735275148567796
1,2,reward,20601,0.476674711963168
1,2,reward,20801,0.4454440786088571
1,2,reward,21001,0.4298316917073579
1,2,reward,21201,0.512005085943103
1,2,reward,21401,0.5996731639985912
1,2,reward,21601,0.6292709555020946
1,2,reward,22001,0.6992811472049162
1,2,reward,22201,0.661718024053652
1,2,reward,22401,0.38165876531680026
1,2,reward,22601,0.2613735346384997
1,2,reward,22801,0.26183969522789274
1,2,reward,23001,0.2130885650094188
1,2,reward,23201,0.2382855039431732
1,2,reward,23401,0.30230076685080987
1,2,reward,23601,0.26121930745668637
1,2,reward,23801,0.29316998315618326
1,2,reward,24001,0.3949526019789055
1,2,reward,24201,0.47828528766004336
1,2,reward,24401,0.5320455013873836
1,2,reward,24601,0.581527232740713
1,2,reward,24801,0.631666980909575
1,3,neutral,15001,-0.2327626205345916
1,3,neutral,15201,-0.4349093573087772
1,3,neutral,15401,-0.46881805796410486
1,3,neutral,15601,-0.4559268132511091
1,3,neutral,15801,-0.4683113209521548
1,3,neutral,16001,-0.4479693097090419
1,3,neutral,16201,-0.38825612576222573
1,3,neutral,16401,-0.24985328000510876
1,3,neutral,16601,-0.08128252357696886
1,3,neutral,16801,-0.0037024779944176
1,3,neutral,17001,0.09891916985029828
1,3,neutral,17201,0.2199289260340078
1,3,neutral,17401,0.2403364609489883
1,3,neutral,17601,0.1778240811156035
1,3,neutral,17801,0.1398849420327457
1,3,neutral,18001,0.21010525121389328
1,3,neutral,18201,0.3000870468092565
1,3,neutral,18401,0.3046536741094851
1,3,neutral,18601,0.3565258267217573
1,3,neutral,18801,0.4610257282342115
1,3,neutral,19001,0.521826820009987
1,3,neutral,19201,0.5809511737871494
1,3,neutral,19401,0.5774395941094042
1,3,neutral,19601,0.5127304256350551
1,3,neutral,19801,0.41892804152319785
1,3,neutral,20001,0.47046829051703026
1,3,neutral,20201,0.5601459200606835
1,3,neutral,20401,0.5656676602453155
1,3,neutral,20601,0.45361222002221574
1,3,neutral,20801,0.3244242734093129
1,3,neutral,21001,0.4036498614937927
1,3,neutral,21201,0.5390653504548182
1,3,neutral,21401,0.6240360839609403
1,3,neutral,21601,0.6248686109513651
1,3,neutral,21801,0.6131952338834196
1,3,neutral,22001,0.559521128090203
1,3,neutral,22201,0.5499271426391055
1,3,neutral,22401,0.609555545070929
1,3,neutral,22601,0.6218932842504706
1,3,neutral,22801,0.6023283063588203
1,3,neutral,23001,0.4782367272794275
1,3,neutral,23201,0.14264868840757955
1,3,neutral,23401,-0.08007992379295664
1,3,neutral,23601,-0.1493878195068283
1,3,neutral,23801,-0.17417513272170346
1,3,neutral,24001,-0.08705307581771796
1,3,neutral,24201,0.10549401157766662
1,3,neutral,24401,0.2796393970255173
1,3,neutral,24601,0.40843459071453914
1,3,neutral,24801,0.5087194869770216
1,4,reward,15001,-0.26882246404055893
1,4,reward,15201,-0.19844167077373384
1,4,reward,15401,-0.20300852826523155
1,4,reward,15601,-0.2865889382310988
1,4,reward,15801,-0.3841976265673958
1,4,reward,16001,-0.39189731204413775
1,4,reward,16201,-0.3333732320236954
1,4,reward,16401,-0.3018245449155693
1,4,reward,16601,-0.22509080620877375
1,4,reward,16801,-0.10441544827379556
1,4,reward,17001,-0.11936476464156295
1,4,reward,17201,-0.15487116138149454
1,4,reward,17401,-0.16800261394601368
1,4,reward,17601,-0.10137413316408274
1,4,reward,17801,0.06830002370448694
1,4,reward,18001,0.1564199523801114
1,4,reward,18201,0.13511329050368495
1,4,reward,18401,0.25272876953235196
1,4,reward,18601,0.4002484556809864
1,4,reward,18801,0.4909443214107434
